Team1,Team2,Map,Result
Nongshim RedForce,Rex Regum Qeon,Ascent,0
Nongshim RedForce,Rex Regum Qeon,Split,1
Nongshim RedForce,Rex Regum Qeon,Pearl,1
Sentinels,100 Thieves,Pearl,1
Sentinels,100 Thieves,Haven,0
Sentinels,100 Thieves,Split,1
2Game Esports,Evil Geniuses,Haven,0
2Game Esports,Evil Geniuses,Lotus,0
Bilibili Gaming,JDG Esports,Pearl,1
Bilibili Gaming,JDG Esports,Icebox,0
Bilibili Gaming,JDG Esports,Fracture,1
TALON,Team Secret,Pearl,0
TALON,Team Secret,Fracture,1
TALON,Team Secret,Haven,1
Titan Esports Club,Dragon Ranger Gaming,Lotus,0
Titan Esports Club,Dragon Ranger Gaming,Fracture,1
Titan Esports Club,Dragon Ranger Gaming,Icebox,1
DRX,Paper Rex,Haven,1
DRX,Paper Rex,Icebox,0
DRX,Paper Rex,Lotus,1
MIBR,LEVIATÁN,Split,1
MIBR,LEVIATÁN,Icebox,1
G2 Esports,FURIA,Lotus,1
G2 Esports,FURIA,Ascent,1
Wolves Esports,Trace Esports,Fracture,1
Wolves Esports,Trace Esports,Pearl,1
T1,ZETA DIVISION,Fracture,1
T1,ZETA DIVISION,Split,0
T1,ZETA DIVISION,Haven,1
Xi Lai Gaming,All Gamers,Fracture,1
Xi Lai Gaming,All Gamers,Lotus,1
DetonatioN FocusMe,Global Esports,Lotus,0
DetonatioN FocusMe,Global Esports,Pearl,0
KRÜ Esports,LOUD,Fracture,0
KRÜ Esports,LOUD,Haven,1
KRÜ Esports,LOUD,Split,1
Cloud9,NRG Esports,Lotus,0
Cloud9,NRG Esports,Fracture,1
Cloud9,NRG Esports,Pearl,1
TYLOO,FunPlus Phoenix,Pearl,0
TYLOO,FunPlus Phoenix,Icebox,1
TYLOO,FunPlus Phoenix,Haven,0
Nova Esports,EDward Gaming,Ascent,1
Nova Esports,EDward Gaming,Fracture,1
FunPlus Phoenix,Titan Esports Club,Icebox,1
FunPlus Phoenix,Titan Esports Club,Haven,1
JDG Esports,Wolves Esports,Pearl,0
JDG Esports,Wolves Esports,Haven,0
TYLOO,EDward Gaming,Fracture,0
TYLOO,EDward Gaming,Haven,0
Dragon Ranger Gaming,Nova Esports,Fracture,1
Dragon Ranger Gaming,Nova Esports,Lotus,1
Trace Esports,All Gamers,Pearl,1
Trace Esports,All Gamers,Lotus,0
Trace Esports,All Gamers,Split,1
Xi Lai Gaming,Bilibili Gaming,Pearl,1
Xi Lai Gaming,Bilibili Gaming,Icebox,0
Xi Lai Gaming,Bilibili Gaming,Fracture,0
G2 Esports,T1,Lotus,1
G2 Esports,T1,Haven,0
G2 Esports,T1,Abyss,1
G2 Esports,T1,Split,0
G2 Esports,T1,Pearl,0
EDward Gaming,T1,Bind,0
EDward Gaming,T1,Haven,0
EDward Gaming,T1,Fracture,1
EDward Gaming,T1,Split,0
T1,Team Vitality,Lotus,0
T1,Team Vitality,Haven,1
T1,Team Vitality,Split,1
EDward Gaming,G2 Esports,Lotus,0
EDward Gaming,G2 Esports,Split,0
Team Vitality,G2 Esports,Bind,0
Team Vitality,G2 Esports,Lotus,0
EDward Gaming,T1,Split,1
EDward Gaming,T1,Bind,0
EDward Gaming,T1,Pearl,1
G2 Esports,Team Liquid,Haven,1
G2 Esports,Team Liquid,Lotus,1
T1,DRX,Fracture,1
T1,DRX,Pearl,1
Team Liquid,Sentinels,Lotus,0
Team Liquid,Sentinels,Abyss,1
Team Liquid,Sentinels,Bind,1
T1,Trace Esports,Lotus,1
T1,Trace Esports,Haven,1
EDward Gaming,G2 Esports,Pearl,0
EDward Gaming,G2 Esports,Bind,1
EDward Gaming,G2 Esports,Fracture,1
DRX,Team Vitality,Bind,0
DRX,Team Vitality,Abyss,1
DRX,Team Vitality,Split,0
G2 Esports,Trace Esports,Lotus,1
G2 Esports,Trace Esports,Abyss,1
Team Vitality,T1,Fracture,1
Team Vitality,T1,Bind,1
DRX,Sentinels,Lotus,1
DRX,Sentinels,Haven,1
EDward Gaming,Team Liquid,Split,1
EDward Gaming,Team Liquid,Pearl,1
Nova Esports,Wolves Esports,Abyss,1
Nova Esports,Wolves Esports,Split,1
Nova Esports,Wolves Esports,Pearl,1
Bilibili Gaming,JDG Esports,Abyss,1
Bilibili Gaming,JDG Esports,Pearl,1
Bilibili Gaming,JDG Esports,Lotus,1
Wolves Esports,JDG Esports,Abyss,1
Wolves Esports,JDG Esports,Haven,1
Bilibili Gaming,Nova Esports,Split,0
Bilibili Gaming,Nova Esports,Pearl,0
Xi Lai Gaming,JDG Esports,Abyss,0
Xi Lai Gaming,JDG Esports,Lotus,0
Dragon Ranger Gaming,Wolves Esports,Haven,0
Dragon Ranger Gaming,Wolves Esports,Split,1
Dragon Ranger Gaming,Wolves Esports,Lotus,0
FunPlus Phoenix,Nova Esports,Split,0
FunPlus Phoenix,Nova Esports,Lotus,0
Bilibili Gaming,TYLOO,Abyss,1
Bilibili Gaming,TYLOO,Pearl,1
Team Vitality,Team Liquid,Split,0
Team Vitality,Team Liquid,Haven,0
Team Vitality,Team Liquid,Lotus,1
Team Vitality,Team Liquid,Bind,1
Team Vitality,Team Liquid,Fracture,1
JDG Esports,EDward Gaming,Pearl,1
JDG Esports,EDward Gaming,Split,1
Wolves Esports,Titan Esports Club,Pearl,1
Wolves Esports,Titan Esports Club,Fracture,1
DRX,T1,Abyss,1
DRX,T1,Lotus,0
DRX,T1,Fracture,1
DRX,T1,Bind,0
DRX,T1,Split,1
G2 Esports,Sentinels,Split,0
G2 Esports,Sentinels,Pearl,1
G2 Esports,Sentinels,Abyss,0
G2 Esports,Sentinels,Fracture,1
G2 Esports,Sentinels,Haven,1
Team Heretics,Team Liquid,Lotus,0
Team Heretics,Team Liquid,Abyss,0
Team Heretics,Team Liquid,Fracture,0
Nova Esports,Trace Esports,Lotus,0
Nova Esports,Trace Esports,Bind,1
Nova Esports,Trace Esports,Split,1
TYLOO,All Gamers,Pearl,1
TYLOO,All Gamers,Abyss,1
Sentinels,MIBR,Lotus,1
Sentinels,MIBR,Abyss,1
Sentinels,MIBR,Pearl,0
Sentinels,MIBR,Split,1
FUT Esports,Team Liquid,Abyss,0
FUT Esports,Team Liquid,Bind,1
FUT Esports,Team Liquid,Haven,0
Team Vitality,Team Heretics,Haven,1
Team Vitality,Team Heretics,Abyss,1
T1,DRX,Lotus,1
T1,DRX,Haven,0
T1,DRX,Fracture,0
MIBR,KRÜ Esports,Bind,0
MIBR,KRÜ Esports,Abyss,1
MIBR,KRÜ Esports,Split,1
Sentinels,G2 Esports,Abyss,0
Sentinels,G2 Esports,Pearl,0
LOUD,KRÜ Esports,Bind,0
